data;stazione;numPassaggio;codiceSpecie;lunghezza;peso;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;1;VA;85;5;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;1;VA;81;4;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;1;VA;92;7;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;1;VA;67;3;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;1;VA;70;3;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;1;VA;56;2;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;1;VA;57;1;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;1;BA;275;181;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;1;BA;239;104;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;1;BA;200;71;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;1;BA;196;64;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;1;BA;178;53;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;1;BA;119;17;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;1;VA;102;10;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;1;VA;109;12;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;1;VA;112;13;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;1;VA;86;5;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;1;VA;87;6;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;1;VA;87;6;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;1;VA;88;6;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;1;VA;89;6;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;1;VA;89;6;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;1;VA;90;6;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;1;VA;91;6;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;1;VA;91;7;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;1;VA;92;7;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;1;VA;95;8;;;;;;;;;;;;;;;;;;;;;
